index	differential	flipped differential	left pole	right pole	card url
164	family-first :: work-first	work-first :: family-first	family-first	work-first	https://compstorylab.org/archetypometrics/cards/family-first--work-first-1600-364-241.pdf
165	scruffy :: manicured	manicured :: scruffy	scruffy	manicured	https://compstorylab.org/archetypometrics/cards/scruffy--manicured-1600-364-241.pdf
166	wild :: tame	tame :: wild	wild	tame	https://compstorylab.org/archetypometrics/cards/wild--tame-1600-364-241.pdf
167	prestigious :: disreputable	disreputable :: prestigious	prestigious	disreputable	https://compstorylab.org/archetypometrics/cards/prestigious--disreputable-1600-364-241.pdf
168	scandalous :: proper	proper :: scandalous	scandalous	proper	https://compstorylab.org/archetypometrics/cards/scandalous--proper-1600-364-241.pdf
169	unprepared :: hoarder	hoarder :: unprepared	unprepared	hoarder	https://compstorylab.org/archetypometrics/cards/unprepared--hoarder-1600-364-241.pdf
170	sheltered :: street-smart	street-smart :: sheltered	sheltered	street-smart	https://compstorylab.org/archetypometrics/cards/sheltered--street-smart-1600-364-241.pdf
171	open-minded :: close-minded	close-minded :: open-minded	open-minded	close-minded	https://compstorylab.org/archetypometrics/cards/open-minded--close-minded-1600-364-241.pdf
172	permanent :: transient	transient :: permanent	permanent	transient	https://compstorylab.org/archetypometrics/cards/permanent--transient-1600-364-241.pdf
173	dramatic :: no-nonsense	no-nonsense :: dramatic	dramatic	no-nonsense	https://compstorylab.org/archetypometrics/cards/dramatic--no-nonsense-1600-364-241.pdf
174	apprentice :: master	master :: apprentice	apprentice	master	https://compstorylab.org/archetypometrics/cards/apprentice--master-1600-364-241.pdf
175	straight :: queer	queer :: straight	straight	queer	https://compstorylab.org/archetypometrics/cards/straight--queer-1600-364-241.pdf
176	androgynous :: gendered	gendered :: androgynous	androgynous	gendered	https://compstorylab.org/archetypometrics/cards/androgynous--gendered-1600-364-241.pdf
177	repetitive :: varied	varied :: repetitive	repetitive	varied	https://compstorylab.org/archetypometrics/cards/repetitive--varied-1600-364-241.pdf
178	patient :: impatient	impatient :: patient	patient	impatient	https://compstorylab.org/archetypometrics/cards/patient--impatient-1600-364-241.pdf
179	poisonous :: nurturing	nurturing :: poisonous	poisonous	nurturing	https://compstorylab.org/archetypometrics/cards/poisonous--nurturing-1600-364-241.pdf
180	creepy :: disarming	disarming :: creepy	creepy	disarming	https://compstorylab.org/archetypometrics/cards/creepy--disarming-1600-364-241.pdf
181	inspiring :: cringeworthy	cringeworthy :: inspiring	inspiring	cringeworthy	https://compstorylab.org/archetypometrics/cards/inspiring--cringeworthy-1600-364-241.pdf
182	soulless :: soulful	soulful :: soulless	soulless	soulful	https://compstorylab.org/archetypometrics/cards/soulless--soulful-1600-364-241.pdf
183	beautiful :: ugly	ugly :: beautiful	beautiful	ugly	https://compstorylab.org/archetypometrics/cards/beautiful--ugly-1600-364-241.pdf
184	domestic :: industrial	industrial :: domestic	domestic	industrial	https://compstorylab.org/archetypometrics/cards/domestic--industrial-1600-364-241.pdf
185	juvenile :: mature	mature :: juvenile	juvenile	mature	https://compstorylab.org/archetypometrics/cards/juvenile--mature-1600-364-241.pdf
186	idealist :: realist	realist :: idealist	idealist	realist	https://compstorylab.org/archetypometrics/cards/idealist--realist-1600-364-241.pdf
187	nihilist :: existentialist	existentialist :: nihilist	nihilist	existentialist	https://compstorylab.org/archetypometrics/cards/nihilist--existentialist-1600-364-241.pdf
188	objective :: subjective	subjective :: objective	objective	subjective	https://compstorylab.org/archetypometrics/cards/objective--subjective-1600-364-241.pdf
189	theist :: atheist	atheist :: theist	theist	atheist	https://compstorylab.org/archetypometrics/cards/theist--atheist-1600-364-241.pdf
190	classical :: avant-garde	avant-garde :: classical	classical	avant-garde	https://compstorylab.org/archetypometrics/cards/classical--avant-garde-1600-364-241.pdf
191	utilitarian :: decorative	decorative :: utilitarian	utilitarian	decorative	https://compstorylab.org/archetypometrics/cards/utilitarian--decorative-1600-364-241.pdf
192	generalist :: specialist	specialist :: generalist	generalist	specialist	https://compstorylab.org/archetypometrics/cards/generalist--specialist-1600-364-241.pdf
193	multicolored :: monochrome	monochrome :: multicolored	multicolored	monochrome	https://compstorylab.org/archetypometrics/cards/multicolored--monochrome-1600-364-241.pdf
194	complimentary :: insulting	insulting :: complimentary	complimentary	insulting	https://compstorylab.org/archetypometrics/cards/complimentary--insulting-1600-364-241.pdf
195	individualist :: communal	communal :: individualist	individualist	communal	https://compstorylab.org/archetypometrics/cards/individualist--communal-1600-364-241.pdf
196	equitable :: hypocritical	hypocritical :: equitable	equitable	hypocritical	https://compstorylab.org/archetypometrics/cards/equitable--hypocritical-1600-364-241.pdf
197	traditional :: unorthodox	unorthodox :: traditional	traditional	unorthodox	https://compstorylab.org/archetypometrics/cards/traditional--unorthodox-1600-364-241.pdf
198	workaholic :: slacker	slacker :: workaholic	workaholic	slacker	https://compstorylab.org/archetypometrics/cards/workaholic--slacker-1600-364-241.pdf
199	resourceful :: helpless	helpless :: resourceful	resourceful	helpless	https://compstorylab.org/archetypometrics/cards/resourceful--helpless-1600-364-241.pdf
200	crazy :: sane	sane :: crazy	crazy	sane	https://compstorylab.org/archetypometrics/cards/crazy--sane-1600-364-241.pdf
201	anarchist :: statist	statist :: anarchist	anarchist	statist	https://compstorylab.org/archetypometrics/cards/anarchist--statist-1600-364-241.pdf
202	cool :: dorky	dorky :: cool	cool	dorky	https://compstorylab.org/archetypometrics/cards/cool--dorky-1600-364-241.pdf
