index	character	character in latex	character/story	character/story in latex	card url
1085	Daisy Fuller	Daisy Fuller	Daisy Fuller/The Curious Case of Benjamin Button	Daisy Fuller/The Curious Case of Benjamin Button	https://compstorylab.org/archetypometrics/cards/The-Curious-Case-of-Benjamin-Button-Daisy-Fuller-2000-464-341.pdf
1086	Archie 'Snake' Simpson	Archie `Snake' Simpson	Archie 'Snake' Simpson/Degrassi: The Next Generation	Archie 'Snake' Simpson/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Archie-Snake-Simpson-2000-464-341.pdf
1087	Clare Edwards	Clare Edwards	Clare Edwards/Degrassi: The Next Generation	Clare Edwards/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Clare-Edwards-2000-464-341.pdf
1088	Alli Bhandari	Alli Bhandari	Alli Bhandari/Degrassi: The Next Generation	Alli Bhandari/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Alli-Bhandari-2000-464-341.pdf
1089	Connor Deslauriers	Connor Deslauriers	Connor Deslauriers/Degrassi: The Next Generation	Connor Deslauriers/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Connor-Deslauriers-2000-464-341.pdf
1090	Gavin 'Spinner' Mason	Gavin `Spinner' Mason	Gavin 'Spinner' Mason/Degrassi: The Next Generation	Gavin 'Spinner' Mason/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Gavin-Spinner-Mason-2000-464-341.pdf
1091	Emma Nelson	Emma Nelson	Emma Nelson/Degrassi: The Next Generation	Emma Nelson/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Emma-Nelson-2000-464-341.pdf
1092	Manny Santos	Manny Santos	Manny Santos/Degrassi: The Next Generation	Manny Santos/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Manny-Santos-2000-464-341.pdf
1093	Drew Torres	Drew Torres	Drew Torres/Degrassi: The Next Generation	Drew Torres/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Drew-Torres-2000-464-341.pdf
1094	Jenna Middleton	Jenna Middleton	Jenna Middleton/Degrassi: The Next Generation	Jenna Middleton/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Jenna-Middleton-2000-464-341.pdf
1095	Liberty Van Zandt	Liberty Van Zandt	Liberty Van Zandt/Degrassi: The Next Generation	Liberty Van Zandt/Degrassi: The Next Generation	https://compstorylab.org/archetypometrics/cards/Degrassi-The-Next-Generation-Liberty-Van-Zandt-2000-464-341.pdf
1096	Hawkeye Pierce	Hawkeye Pierce	Hawkeye Pierce/M*A*S*H	Hawkeye Pierce/M*A*S*H	https://compstorylab.org/archetypometrics/cards/MASH-Hawkeye-Pierce-2000-464-341.pdf
1097	Margaret Houlihan	Margaret Houlihan	Margaret Houlihan/M*A*S*H	Margaret Houlihan/M*A*S*H	https://compstorylab.org/archetypometrics/cards/MASH-Margaret-Houlihan-2000-464-341.pdf
